"mz","time","PeakID","Module_RTclust"
1098.66279,39.1,"Peak10064","19_1"
1098.74535,38,"Peak10065","3_1"
1099.11012,497.4,"Peak10066","47_29"
1099.24094,34.3,"Peak10067","47_1"
1099.60596,497.5,"Peak10071","47_29"
1099.75753,35.5,"Peak10072","3_1"
1099.79198,30.1,"Peak10073","25_1"
110.00772,386.6,"Peak119","3_26"
110.00801,31.5,"Peak120","18_1"
110.01939,395,"Peak121","15_33"
110.05928,272.4,"Peak122","3_17"
110.07074,56.5,"Peak123","19_1"
110.07884,528.2,"Peak124","37_33"
110.52114,423.6,"Peak125","15_35"
1100.10901,494.6,"Peak10074","3_36"
1100.52964,37.9,"Peak10075","4_1"
1100.7504,37.1,"Peak10077","43_1"
1100.7504,489.6,"Peak10078","19_35"
1101.25424,37.8,"Peak10080","49_1"
1101.58573,478.2,"Peak10081","3_35"
1101.75843,39.1,"Peak10082","33_1"
1101.93809,282.3,"Peak10083","3_17"
1102.06249,285.7,"Peak10084","9_26"
1102.18692,281.4,"Peak10086","3_17"
1102.25606,37.8,"Peak10087","8_1"
1102.30445,277.4,"Peak10088","6_28"
1102.43584,283.1,"Peak10089","6_28"
1102.62949,367.8,"Peak10090","30_36"
1102.76093,37.3,"Peak10092","36_1"
1102.84396,42.9,"Peak10093","27_1"
1102.93392,276.2,"Peak10094","19_19"
1103.05157,576.5,"Peak10095","4_43"
1103.12771,367.7,"Peak10096","17_27"
1103.56392,500.1,"Peak10097","47_29"
1103.62626,367.8,"Peak10098","30_36"
1103.72324,38.9,"Peak10099","19_1"
1104.06277,500.7,"Peak10101","4_35"
1104.38859,36.1,"Peak10104","36_1"
1104.6105,387.2,"Peak10105","4_23"
1104.76311,37,"Peak10106","47_1"
1105.06842,505.1,"Peak10108","4_35"
1105.26971,39.9,"Peak10109","47_1"
1105.56829,498.1,"Peak10110","47_29"
1105.76277,32.9,"Peak10112","3_1"
1106.12409,435.9,"Peak10115","47_26"
1106.57599,436.4,"Peak10118","47_26"
1106.70118,38.1,"Peak10119","27_1"
1106.77074,36.6,"Peak10120","27_1"
1107.59204,584.8,"Peak10121","4_43"
1107.69651,37.2,"Peak10122","29_1"
1107.7801,38.6,"Peak10123","40_1"
1108.2818,35.3,"Peak10125","3_1"
1108.47003,40.8,"Peak10126","4_1"
1108.69318,37.9,"Peak10127","2_1"
1108.73503,37.9,"Peak10128","19_1"
1109.0699,497.7,"Peak10130","26_28"
1109.24437,37.8,"Peak10131","13_1"
1109.74008,39.5,"Peak10135","5_2"
111.00899,35.5,"Peak127","18_1"
111.01959,397.6,"Peak128","15_33"
111.03865,35.6,"Peak129","24_1"
111.05467,256.4,"Peak130","48_19"
111.1162,250.8,"Peak132","2_19"
111.53611,221.9,"Peak133","3_13"
1110.24313,36.5,"Peak10136","13_1"
